Gender,Height,Weight,Bust/Chest,Cup Size,Waist,Hips,Body Shape Index
Female,"5'1""",67,37,E,35,38,4
Female,"6'4""",97,37,E,28,34,0
Female,"5'9""",70,33,DD,23,23,0
Female,"5'1""",59,41,D,25,26,0
Female,"5'11""",92,42,DD,24,26,4
Female,"5'11""",77,46,AA,24,33,0
Female,"6'0""",77,46,AA,38,43,2
Female,"4'11""",45,30,C,30,30,4
Female,"5'4""",79,29,A,40,46,3
Female,"5'5""",70,41,E,41,46,1
Female,"5'9""",87,40,E,35,36,4
Female,"4'11""",45,35,D,36,46,1
Female,"5'9""",90,38,D,23,28,1
Female,"5'4""",54,33,E,33,36,4
Female,"6'6""",113,47,B,33,37,2
Female,"6'6""",117,29,E,25,25,3
Female,"5'1""",68,29,C,29,39,4
Female,"4'11""",52,41,C,28,37,1
Female,"6'2""",101,42,D,29,33,1
Female,"5'7""",61,45,C,41,48,1
Female,"4'11""",58,31,A,30,32,1
Female,"5'11""",60,43,C,30,34,3
Female,"6'6""",105,45,B,30,31,4
Female,"5'0""",55,43,C,35,44,3
Female,"5'8""",58,41,F,23,25,1
Female,"5'5""",60,33,A,27,29,3
Female,"5'9""",69,44,E,38,45,4
Female,"5'6""",80,34,F,33,35,3
Female,"6'4""",86,41,DD,25,27,2
Female,"5'3""",65,36,D,34,35,3
Female,"5'5""",55,34,A,39,47,3
Female,"6'3""",81,38,AA,23,24,1
Female,"5'7""",66,36,E,36,41,2
Female,"5'6""",67,33,E,40,40,4
Female,"5'5""",56,34,D,32,34,4
Female,"5'4""",60,41,F,40,50,1
Female,"6'6""",103,34,D,30,40,2
Female,"6'5""",73,35,B,38,39,3
Female,"4'11""",66,36,A,26,33,0
Female,"5'1""",71,37,DD,40,50,0
Female,"5'0""",45,38,DD,23,28,2
Female,"5'7""",64,32,AA,33,36,3
Female,"5'6""",72,28,F,36,42,1
Female,"5'10""",83,35,DD,22,22,3
Female,"5'10""",78,36,F,24,33,4
Female,"5'7""",77,31,C,42,46,2
Female,"6'1""",67,28,A,25,28,1
Female,"5'8""",70,29,D,32,35,2
Female,"6'6""",104,40,DD,34,44,0
Female,"6'2""",100,36,DD,39,40,4
Female,"5'2""",52,32,C,36,46,4
Female,"5'8""",84,31,A,35,37,2
Female,"6'0""",77,36,F,27,35,3
Female,"5'6""",73,48,D,42,42,4
Female,"5'9""",76,45,A,38,44,4
Female,"6'6""",118,39,A,36,39,2
Female,"5'6""",59,31,A,27,31,4
Female,"5'7""",56,34,AA,31,38,1
Female,"6'1""",79,37,AA,37,40,3
Female,"5'8""",71,48,F,24,30,4
Female,"5'3""",74,35,D,39,48,0
Female,"5'7""",54,42,B,35,36,4
Female,"5'4""",71,34,F,27,35,2
Female,"6'5""",72,43,AA,32,42,2
Female,"5'11""",64,38,F,29,33,2
Female,"6'1""",65,43,D,38,45,1
Female,"5'1""",49,43,A,36,44,4
Female,"5'3""",59,47,AA,30,34,4
Female,"5'10""",79,33,A,22,23,3
Female,"5'11""",93,36,E,37,43,1
Female,"5'6""",69,35,B,24,33,3
Female,"5'3""",76,28,B,30,32,1
Female,"6'1""",103,37,D,32,38,3
Female,"5'3""",65,43,D,40,49,2
Female,"5'10""",95,28,E,22,30,3
Female,"4'10""",41,31,C,30,38,0
Female,"4'11""",56,35,A,27,28,1
Female,"5'5""",78,46,AA,29,39,4
Female,"4'10""",41,36,F,33,37,3
Female,"5'9""",89,37,C,22,31,4
Female,"5'11""",85,46,F,41,45,3
Female,"5'10""",59,39,A,30,37,1
Female,"5'8""",62,28,DD,27,31,0
Female,"6'3""",106,48,E,39,43,1
Female,"4'10""",63,38,DD,39,48,1
Female,"6'2""",69,33,AA,32,41,1
Female,"6'1""",98,40,F,38,45,3
Female,"6'0""",92,31,DD,34,38,2
Female,"5'5""",51,40,DD,36,45,3
Female,"6'4""",81,43,AA,26,32,2
Female,"5'11""",79,46,DD,23,33,2
Female,"4'11""",48,38,A,38,47,2
Female,"5'6""",69,44,F,39,44,0
Female,"5'2""",64,40,C,30,31,2
Female,"5'7""",63,38,D,23,32,1
Female,"5'7""",69,41,AA,36,36,0
Female,"4'11""",66,40,B,24,27,4
Female,"5'6""",73,47,C,36,38,4
Female,"5'10""",90,33,A,39,49,2
Female,"5'9""",80,28,C,36,45,4
Female,"5'3""",54,34,D,23,25,0
Female,"5'10""",72,44,F,23,29,0
Female,"5'0""",57,43,DD,26,30,4
Female,"5'1""",60,28,D,33,33,4
Female,"5'10""",94,37,B,36,43,3
Female,"6'1""",75,33,F,31,39,3
Female,"5'6""",73,28,DD,39,46,1
Female,"5'5""",67,45,DD,35,41,4
Female,"5'0""",51,43,F,28,38,1
Female,"5'0""",56,33,DD,28,38,4
Female,"5'5""",56,40,AA,22,22,3
Female,"5'5""",52,33,AA,34,37,1
Female,"5'4""",57,32,DD,22,31,3
Female,"4'10""",50,28,AA,35,45,4
Female,"5'0""",54,44,B,40,48,3
Female,"5'0""",70,29,DD,35,40,1
Female,"6'5""",82,45,A,23,26,2
Female,"5'11""",84,32,B,41,43,0
Female,"5'3""",59,33,D,31,36,4
Female,"5'7""",70,35,B,22,22,2
Female,"5'5""",76,45,F,36,36,4
Female,"5'0""",52,35,C,23,25,4
Female,"5'0""",46,42,DD,37,37,4
Female,"5'2""",60,30,B,25,28,3
Female,"4'10""",56,33,D,39,39,2
Female,"5'1""",56,44,B,27,37,3
Female,"5'3""",65,41,D,35,41,2
Female,"6'6""",73,33,E,36,37,2
Female,"6'0""",93,30,DD,31,36,3
Female,"5'0""",57,40,A,22,26,1
Female,"5'5""",68,28,E,31,40,1
Female,"6'4""",111,42,D,36,40,3
Female,"6'2""",77,35,D,32,42,2
Female,"5'2""",71,42,B,39,49,1
Female,"5'8""",79,35,DD,37,46,1
Female,"5'1""",69,40,E,27,32,2
Female,"4'11""",61,29,C,33,43,2
Female,"5'1""",55,33,D,31,31,3
Female,"6'2""",78,37,AA,37,42,0
Female,"5'5""",77,44,F,26,33,3
Female,"5'4""",56,43,C,37,44,1
Female,"5'0""",55,34,A,26,27,4
Female,"6'4""",87,43,D,33,41,3
Female,"5'9""",85,29,B,38,45,0
Female,"5'11""",81,46,F,35,44,1
Female,"4'11""",42,39,C,35,38,0
Female,"6'6""",94,35,D,27,34,0
Female,"5'3""",66,45,B,22,22,0
Female,"6'4""",71,31,E,33,33,1
Female,"6'0""",78,45,DD,37,47,4
Female,"5'2""",56,44,A,25,28,1
Female,"6'6""",80,46,C,24,29,3
Female,"5'5""",74,40,C,28,38,3
Female,"6'3""",109,39,F,42,42,4
Female,"5'4""",72,39,E,32,39,3
Female,"6'1""",79,37,DD,32,33,4
Female,"5'7""",79,30,A,29,34,2
Female,"5'11""",64,32,E,33,42,0
Female,"5'4""",70,45,D,28,37,1
Female,"5'4""",51,33,AA,36,40,3
Female,"5'5""",71,45,D,26,34,1
Female,"5'4""",59,29,B,30,34,2
Female,"6'6""",116,32,D,39,43,4
Female,"6'3""",76,35,DD,27,36,1
Female,"5'6""",73,29,D,31,41,4
Female,"5'6""",53,37,A,28,29,4
Female,"5'5""",50,28,D,23,29,3
Female,"5'3""",47,42,E,32,38,2
Female,"5'5""",64,38,C,40,41,1
Female,"5'0""",59,30,A,39,40,0
Female,"5'1""",68,43,F,28,30,3
Female,"5'9""",85,33,A,24,30,4
Female,"5'2""",66,40,D,35,39,0
Female,"6'6""",100,36,A,22,29,3
Female,"6'4""",99,31,A,41,48,3
Female,"5'4""",66,46,DD,33,43,2
Female,"5'3""",62,41,D,30,37,1
Female,"5'7""",60,45,A,35,38,4
Female,"5'10""",94,39,D,33,37,3
Female,"6'1""",73,28,AA,41,48,4
Female,"5'8""",67,31,DD,25,35,2
Female,"6'6""",76,37,AA,26,36,2
Female,"5'3""",56,33,E,36,46,1
Female,"5'5""",58,44,A,34,34,3
Female,"6'2""",82,33,D,40,50,0
Female,"6'4""",78,42,D,41,47,4
Female,"4'11""",65,38,DD,37,40,0
Female,"5'9""",74,47,DD,23,29,2
Female,"4'11""",47,43,AA,22,27,2
Female,"4'11""",45,39,DD,29,39,0
Female,"6'1""",73,36,AA,41,42,4
Female,"5'2""",74,42,D,41,50,1
Female,"5'9""",77,38,AA,36,44,1
Female,"5'0""",43,33,E,36,40,0
Female,"6'1""",68,34,F,24,27,4
Female,"4'10""",59,29,A,38,47,3
Female,"6'4""",80,42,B,41,47,0
Female,"5'5""",50,34,B,32,39,0
Female,"6'3""",98,41,A,32,40,2
Female,"5'3""",60,34,A,30,38,3
Female,"6'1""",102,33,B,35,44,2
Female,"5'0""",46,33,F,37,47,2
Female,"5'9""",66,43,C,39,46,4
Female,"5'1""",44,42,C,22,31,4
Female,"4'11""",64,28,F,27,33,0
Female,"5'3""",70,34,D,41,47,3
Female,"5'9""",66,38,C,23,31,1
Female,"5'7""",85,46,A,41,47,2
Female,"5'5""",76,45,C,41,44,4
Female,"5'9""",83,32,DD,31,37,4
Female,"6'4""",76,36,DD,40,50,1
Female,"5'0""",47,42,F,35,37,1
Female,"6'0""",77,33,F,31,33,1
Female,"5'0""",70,41,A,23,23,1
Female,"4'10""",45,28,D,26,31,2
Female,"5'11""",98,29,AA,25,34,0
Female,"5'11""",60,42,E,28,34,3
Female,"5'6""",56,28,B,23,28,2
Female,"6'1""",103,32,F,42,42,0
Female,"5'2""",63,28,D,33,35,0
Female,"4'11""",65,40,C,31,39,1
Female,"6'1""",77,33,E,37,40,2
Female,"6'3""",99,35,B,23,33,1
Female,"5'5""",50,28,C,33,37,1
Female,"4'10""",44,31,AA,23,33,0
Female,"6'6""",101,40,A,34,39,2
Female,"4'10""",45,34,B,28,32,0
Female,"5'5""",78,40,A,36,41,1
Female,"5'8""",56,40,F,40,44,3
Female,"5'4""",52,33,F,24,32,2
Female,"5'6""",57,42,D,38,47,2
Female,"6'4""",77,44,D,38,46,4
Female,"6'6""",116,32,DD,34,42,3
Female,"5'3""",52,41,C,28,33,0
Female,"5'1""",65,40,A,34,44,4
Female,"5'10""",87,40,DD,31,31,4
Female,"5'1""",67,31,DD,40,49,1
Female,"5'10""",64,28,B,24,25,4
Female,"6'0""",66,34,C,40,40,0
Female,"5'11""",67,48,DD,31,31,1
Female,"5'6""",78,29,A,31,41,4
Female,"6'1""",79,41,F,38,42,2
Female,"6'5""",87,44,C,36,37,3
Female,"5'2""",51,42,AA,31,35,4
Female,"5'2""",52,31,E,37,41,0
Female,"6'6""",89,41,F,28,35,1
Female,"5'7""",68,47,F,38,39,2
Female,"6'4""",80,36,B,22,29,3
Female,"4'11""",57,45,B,38,45,1
Female,"5'9""",62,47,D,27,37,1
Female,"5'5""",65,33,AA,23,23,0
Female,"4'10""",63,28,D,31,37,0
Female,"4'10""",49,34,AA,37,45,2
Female,"5'6""",71,41,AA,39,44,4
Female,"6'5""",104,40,D,25,29,1
Female,"5'7""",74,48,F,22,25,2
Female,"5'9""",82,40,E,32,38,2
Female,"6'3""",104,36,C,29,31,1
Female,"5'0""",46,29,AA,30,33,0
Female,"5'0""",59,28,C,31,33,4
Female,"6'5""",77,34,AA,34,37,0
Female,"6'2""",84,38,A,22,27,2
Female,"6'5""",108,48,C,33,43,4
Female,"5'11""",81,45,DD,39,46,4
Female,"4'11""",60,33,AA,33,40,1
Female,"6'4""",72,37,F,32,42,3
Female,"6'6""",93,32,B,29,38,0
Female,"5'11""",86,31,DD,35,40,4
Female,"4'10""",54,46,A,39,49,1
Female,"5'8""",86,28,F,29,38,2
Female,"5'8""",69,35,E,27,29,0
Female,"5'1""",61,48,E,22,24,3
Female,"6'4""",93,46,C,35,42,0
Female,"4'10""",42,38,E,23,33,3
Female,"6'0""",83,31,D,40,41,4
Female,"5'11""",94,46,E,24,24,2
Female,"5'5""",53,40,F,35,39,0
Female,"5'1""",72,36,B,23,24,0
Female,"6'0""",95,40,A,26,26,3
Female,"4'11""",52,33,C,34,37,0
Female,"5'7""",63,46,B,31,34,2
Female,"6'1""",81,48,AA,34,39,3
Female,"6'2""",82,37,B,27,32,3
Female,"5'9""",75,43,B,28,33,0
Female,"5'3""",71,39,D,23,28,1
Female,"5'8""",78,43,C,41,42,4
Female,"5'1""",65,35,DD,34,36,3
Female,"5'2""",58,47,DD,29,35,4
Female,"5'8""",72,38,A,29,38,3
Female,"6'5""",78,41,E,27,32,4
Female,"6'4""",106,28,DD,41,45,0
Female,"5'0""",61,31,C,39,46,4
Female,"6'3""",99,42,E,38,44,1
Female,"6'4""",95,31,AA,31,40,2
Female,"5'3""",49,43,AA,38,47,0
Female,"6'2""",67,35,D,22,26,3
Female,"6'5""",72,41,B,40,46,1
Female,"6'0""",89,36,E,39,45,0
Female,"6'6""",101,28,AA,40,47,0
Female,"6'6""",97,32,DD,39,41,1
Female,"5'5""",56,31,D,34,36,3
Female,"6'5""",88,37,F,39,40,1
Female,"5'1""",66,46,B,31,39,4
Female,"6'3""",102,28,F,34,41,1
Female,"5'8""",75,33,DD,34,41,2
Female,"5'0""",50,40,B,31,33,2
Female,"6'2""",95,35,E,22,28,1
Female,"6'4""",107,29,B,32,38,4
Female,"5'1""",71,30,DD,39,49,1
Female,"6'6""",112,44,F,27,30,2
Female,"6'2""",82,30,D,33,42,4
Female,"4'11""",50,32,D,31,39,1
Female,"6'0""",74,39,E,38,45,0
Female,"6'5""",111,41,E,27,27,1
Female,"5'1""",62,32,A,33,34,4
Female,"5'11""",71,30,AA,27,37,4
Female,"6'6""",92,40,B,28,36,3
Female,"5'9""",89,40,B,39,39,0
Female,"5'7""",72,44,A,32,40,2
Female,"5'8""",65,46,A,37,45,0
Female,"6'0""",69,29,C,30,36,2
Female,"6'6""",108,42,B,39,40,3
Female,"4'10""",61,39,D,31,38,3
Female,"5'3""",69,43,DD,42,48,2
Female,"5'4""",75,38,D,38,45,0
Female,"6'4""",104,34,A,40,40,0
Female,"6'1""",69,42,AA,35,41,1
Female,"6'2""",78,33,DD,22,22,3
Female,"5'4""",63,41,AA,26,30,2
Female,"6'1""",83,36,AA,34,36,2
Female,"5'2""",47,40,C,36,36,1
Female,"5'0""",52,28,C,24,30,1
Female,"5'4""",64,47,C,32,42,1
Female,"5'6""",65,39,A,33,35,0
Female,"5'6""",66,41,AA,34,44,0
Female,"6'5""",115,42,AA,40,46,1
Female,"5'9""",74,34,DD,33,40,4
Female,"5'7""",77,38,F,31,39,4
Female,"6'4""",92,35,AA,33,43,1
Female,"5'0""",47,36,C,33,43,3
Female,"5'6""",55,34,E,29,39,4
Female,"5'7""",70,33,F,37,44,1
Female,"5'7""",69,30,A,42,42,2
Female,"6'1""",101,32,B,27,27,3
Female,"5'1""",57,44,AA,23,31,2
Female,"5'10""",86,43,E,25,27,1
Female,"5'10""",85,41,B,35,42,0
Female,"6'1""",86,36,AA,28,38,0
Female,"6'0""",91,45,B,33,39,0
Female,"5'11""",72,47,F,28,35,1
Female,"5'9""",76,40,B,36,40,2
Female,"5'10""",60,31,AA,23,24,2
Female,"5'7""",69,33,B,24,26,2
Female,"5'2""",57,40,F,29,33,4
Female,"6'6""",92,30,A,38,42,2
Female,"5'2""",46,39,D,26,28,2
Female,"6'4""",69,37,D,28,28,3
Female,"5'9""",71,47,D,41,45,0
Female,"5'2""",48,30,AA,29,30,0
Female,"6'0""",80,36,F,27,30,4
Female,"6'0""",62,37,AA,29,34,1
Female,"6'4""",80,44,AA,30,37,4
Female,"5'7""",80,29,A,34,43,3
Female,"4'10""",45,28,B,28,33,1
Female,"5'7""",75,28,A,29,39,2
Female,"5'2""",57,36,E,25,33,2
Female,"5'11""",60,36,C,26,34,4
Female,"4'11""",61,32,E,27,31,1
Female,"6'4""",112,33,D,22,22,3
Female,"6'4""",72,29,F,37,40,3
Female,"4'11""",62,41,DD,25,33,4
Female,"5'0""",65,42,B,28,38,1
Female,"5'0""",67,28,F,34,37,4
Female,"5'3""",69,39,DD,38,42,0
Female,"5'0""",58,36,B,26,34,0
Female,"6'1""",83,33,B,38,38,0
Female,"5'8""",86,47,A,38,46,3
Female,"5'4""",67,41,DD,40,48,1
Female,"5'4""",65,35,DD,40,50,0
Female,"6'3""",72,44,AA,32,42,2
Female,"6'4""",96,30,D,27,33,0
Female,"5'10""",72,46,A,23,23,3
Female,"6'0""",69,32,C,37,37,0
Female,"6'2""",94,39,E,41,43,4
Female,"5'9""",86,42,E,28,30,3
Female,"5'4""",79,35,AA,42,46,3
Female,"5'1""",46,34,F,37,47,0
Female,"5'10""",80,45,E,27,35,2
Female,"6'2""",74,40,AA,27,28,1
Female,"5'6""",58,34,A,32,42,0
Female,"6'1""",80,35,A,30,33,0
Female,"5'8""",58,33,DD,38,41,2
Female,"6'4""",77,33,DD,24,29,2
Female,"6'4""",105,38,A,30,33,4
Female,"6'5""",72,35,F,35,42,0
Female,"6'2""",72,44,AA,28,30,4
Female,"6'1""",76,46,AA,38,42,3
Female,"6'3""",85,37,D,41,46,0
Female,"5'9""",77,42,E,42,50,3
Female,"5'4""",56,30,E,36,46,2
Female,"6'0""",62,38,A,39,45,2
Female,"4'11""",45,33,AA,25,29,4
Female,"6'4""",102,41,AA,32,36,0
Female,"4'11""",62,46,C,35,39,1
Female,"5'6""",62,35,A,34,35,2
Female,"6'6""",73,31,E,30,31,0
Female,"6'1""",72,29,E,37,45,0
Female,"5'10""",73,29,D,37,43,1
Female,"5'10""",93,34,F,36,42,3
Female,"5'7""",79,38,F,25,25,3
Female,"5'0""",50,29,F,23,24,2
Female,"5'6""",64,30,D,35,35,4
Female,"6'6""",91,38,DD,27,32,1
Female,"4'11""",42,33,D,27,37,0
Female,"5'4""",66,48,AA,24,29,2
Female,"5'8""",65,47,DD,36,41,3
Female,"6'1""",74,48,E,22,27,4
Female,"5'11""",87,30,E,34,44,1
Female,"6'3""",84,31,A,25,30,2
Female,"6'4""",86,32,A,41,47,4
Female,"5'5""",64,35,DD,37,44,3
Female,"5'10""",71,43,B,29,36,3
Female,"5'11""",84,30,E,39,39,4
Female,"6'5""",85,44,DD,26,28,1
Female,"5'3""",75,33,F,33,34,0
Female,"4'10""",49,41,B,26,28,0
Female,"5'0""",60,44,F,39,45,1
Female,"5'9""",84,34,DD,33,34,3
Female,"5'4""",66,37,A,38,38,1
Female,"5'10""",71,29,B,26,26,3
Female,"5'10""",95,43,C,41,41,3
Female,"5'6""",60,30,DD,22,32,1
Female,"6'1""",103,29,E,42,48,1
Female,"6'0""",76,43,AA,28,35,3
Female,"5'6""",73,36,E,30,37,3
Female,"5'7""",55,44,C,24,24,2
Female,"6'4""",71,31,AA,33,42,2
Female,"5'6""",56,32,DD,29,37,0
Female,"6'6""",102,32,B,26,34,1
Female,"4'11""",48,30,A,22,26,4
Female,"5'0""",70,31,A,38,46,2
Female,"6'1""",69,38,A,40,42,2
Female,"5'8""",59,43,C,26,33,0
Female,"5'9""",77,34,AA,41,50,4
Female,"5'8""",71,39,A,37,44,3
Female,"4'11""",50,36,C,34,41,0
Female,"5'6""",55,41,D,29,35,3
Female,"6'0""",77,29,E,34,39,4
Female,"5'3""",47,42,C,29,34,4
Female,"5'10""",63,39,A,37,42,3
Female,"5'2""",49,28,B,30,30,3
Female,"5'3""",48,41,C,34,39,2
Female,"5'5""",63,43,DD,35,35,2
Female,"5'10""",84,40,E,25,32,3
Female,"5'0""",69,28,A,41,49,0
Female,"6'6""",95,29,E,35,42,3
Female,"6'2""",104,36,DD,33,42,3
Female,"5'6""",79,38,F,34,37,0
Female,"6'5""",92,36,A,23,32,1
Female,"6'1""",66,34,AA,28,29,0
Female,"5'2""",49,37,A,31,40,4
Female,"6'2""",93,43,F,39,48,3
Female,"5'11""",76,43,A,32,40,2
Female,"5'11""",76,36,AA,32,36,2
Female,"4'10""",60,40,E,26,36,1
Female,"6'3""",102,32,C,24,27,4
Female,"5'0""",56,45,F,27,36,2
Female,"6'2""",72,37,A,34,34,4
Female,"5'7""",59,38,DD,38,38,1
Female,"5'6""",73,45,AA,35,45,0
Female,"5'1""",55,28,B,31,40,3
Female,"4'10""",63,48,A,22,22,3
Female,"6'4""",84,47,B,34,37,1
Female,"6'0""",75,43,F,22,29,1
Female,"6'2""",87,44,B,39,46,3
Female,"5'7""",54,35,A,32,35,1
Female,"4'11""",52,33,F,25,33,3
Female,"6'5""",79,39,B,38,45,1
Female,"6'6""",74,30,E,26,33,3
Female,"5'6""",56,38,B,22,29,2
Female,"6'6""",83,33,A,24,33,2
Female,"5'6""",65,36,DD,35,41,0
Female,"6'5""",86,36,B,35,40,1
Female,"6'6""",84,48,DD,39,45,3
Female,"6'5""",98,44,A,31,37,0
Female,"5'9""",71,34,D,36,43,3
Female,"5'3""",69,38,DD,34,35,2
Female,"5'1""",60,32,AA,24,33,2
Female,"6'1""",98,37,E,24,30,3
Female,"5'5""",72,43,A,25,27,4
Female,"6'2""",103,47,B,42,50,1
Female,"6'2""",101,36,E,34,34,2
Female,"6'2""",89,43,AA,26,31,0
Female,"5'0""",46,40,DD,23,24,0
Female,"5'2""",53,30,DD,26,32,2
Female,"5'2""",50,28,D,24,30,0
Female,"6'0""",88,38,C,36,36,4
Female,"6'2""",66,28,AA,36,39,0
Female,"6'0""",67,46,DD,33,43,4
Female,"5'6""",79,34,C,25,28,1
Female,"5'5""",79,48,DD,40,50,0
Female,"5'2""",61,36,A,30,39,0
Female,"5'1""",53,31,AA,35,36,4
Female,"5'10""",94,42,AA,35,45,0
Female,"6'6""",87,29,B,27,28,3
Female,"5'2""",54,40,F,25,28,2
Female,"5'9""",76,30,F,32,35,0
Female,"6'3""",94,46,DD,23,25,3
Female,"5'0""",66,30,C,41,49,4
Female,"5'8""",66,32,D,23,27,0
Female,"5'11""",69,46,C,39,47,3
Female,"6'2""",92,32,E,39,48,1
Female,"6'0""",63,48,AA,30,34,0
Female,"5'9""",71,33,E,27,33,1
Female,"6'5""",94,37,D,32,35,1
Female,"6'1""",86,28,E,40,48,2
Female,"5'8""",58,37,F,25,34,4
Female,"5'8""",56,39,AA,24,24,0
Female,"5'6""",82,31,C,42,50,1
Female,"5'4""",73,45,D,36,40,2
Female,"5'3""",54,45,A,29,37,4
Female,"5'0""",59,30,A,28,31,4
Female,"5'2""",70,40,DD,34,36,3
Female,"5'6""",84,47,F,36,38,0
Female,"5'1""",45,34,E,25,29,1
